pk;id;artist;title;category;genre;cdextra;year;track01;track02;track03;track04;track05;track06;track07;track08;track09;track10;track11;track12;track13;track14
100681;ac0bae0c;Keith Hancock;Madhouse;folk;;;;Headline News;Helter Skelter;The Bad Loser;The Strangest Of Lands;Sunk Without A Trace;Chase The Dragon;Workhorse;Lousy Timing;Life In The System;Boys Of The Old Brigade;The Bloodletting Game;South Africa;;
100682;ac0bc20b;JUAN MANUEL SERRAT;Versos En La Boca;folk;;;;De Cuando Estuve Loco;Así En La Guerra Como En Los Celos;La Bella Y El Metro;Que Será De Mí;Africa;Muñeca Rusa;Los Recuerdos;La Mala Racha;Sin Piedad;Es Caprichoso El Azar;Señor De La Noche;;;
100683;ac0bcf0c;Martin Sexton;The American;folk;Folk;;1998;Glory Bound;The American;Station Man;My Maria;Candy;The Beast In Me;Where it Begins;Young and Beautiful;Animal Song;Love Keep Us Together;Diggin Me;Way I Am;;
100684;ac0bea0c;Oliver Schroer;Celtica;folk;Celtic;;;Wake up happy;A tale with no beginning;Crazy about you;Peter and Diane;Shorelines;Hannah;Celtic Fiesta;my friend Brent;Sun on a cloudy day;Swinging down the path;Simple song;Paddy goes to heaven;;
100685;ac0c310e;ionatos;pas de titre;folk;;;;PisteAudio 01;PisteAudio 02;PisteAudio 03;PisteAudio 04;PisteAudio 05;PisteAudio 06;PisteAudio 07;PisteAudio 08;PisteAudio 09;PisteAudio 10;PisteAudio 11;PisteAudio 12;PisteAudio 13;PisteAudio 14
100686;ac0d650c;Brian Wiltsey;Ghost on the Outside;folk;Folk-Rock;YEAR: 2003;2003;Something So Strange;It's About Time;When It's Over;First Mistake;Killing Me;Mysterious;Beginning Of The End;You Had to Cry;Because of You;Seems Like Nothing;Tired;Close Your Eyes (Live);;
100687;ac0d760c;Amadou & Mariam;Wati;folk;National Folk;YEAR: 2002 ID3G:  82;2002;Walide;Ilbiwan;Les Temps Ont Changé;Baroni;Sarama;Dougou Massa;Chauffeurs;Mali Denou;Lahilala;Barika;Fana;Poulo;;
100688;ac0d850c;Sá & Guarabyra - Ao Vivo;Sá & Guarabyra;folk;MPB;;;Espanhola;Dona;Caçador de Mim;Sobradinho;Lembranças do Futuro;A longa noite;Quem saberia perder;Capitão da Meia-Noite;Rio Bahia;Harmonia;Desenhos no jornal;Foi um vento que levou;;
100689;ac0da80c;Dangaa Khosbayar;Altai;folk;;;;Saga Of Dschingis Khan;Native Calls;Carvan To Kasachstan;Mongolian Mood;Shepherd At A Mountain Lake;Grassland And Breeze;Voices Of Springtime;Witches And Shamans;Longing For The Endless Plains;Throat Singer's Parade;Flight Of The Eagle;Altai;;
100690;ac0e0a0e;DERTUM;DERTUM;folk;;;;Dafino Fino Crveno;Zapjevala Sojka Ptica;Lijepi Li Su Mostarski Ducani;More Sokol Pije;Anadolka;Snijeg Pada Na Behar Na Voce;Telal Vice;Mujo Kuje;Eleno Kerko;Moj Dilbere;Azra;Bentbasa;Safete Sajo Sarajlijo;Uci Me Majko Karaj Me
100691;ac0ed50d;BETO Y FRANCO;CELEBRANDO;folk;VALLENATO;;2001;CUANDO LA VI;PONTE PILAS;VINE A CONQUISTARTE;MOSAICO;TODAVIA TE ESPERO;NO VALES NADA;POR UNA MENTIRA;LA TIENES TODA;CASI TE PIERDO;SE PRENDIO LA FIESTA;TIENES;EL SECRETICO;BONUS TRACK;
100692;ac0f670e;Matrix;Djeca noci;folk;Dance;;;Children Of The Night;Romeo i Julija;Rodjeni za pobjede;Posalji mi SMS;Izgubljena noc;Sjene na zidu;Pod mojom kozom;Tko ce spasiti svijet;Poljubi me strasno;Zaljubljena;Ne volim rock;SOS;Stari Cafe;Slusaj svoje srce
100693;ac0fc80b;Bob Dylan;Live in England;folk;Folk-Rock;;1966;Fourth Time Around;Desolation Row;Just Like a Woman;Mr. Tambourine Man;Tell Me Mama;Baby, Let Me Follow You Down;Just Like Tom Thumbs Blues;Leopard-Skin Pill-Box Hat;One Too Many Mornings;Ballad of a Thin Man;Like a Rolling Stone;;;
100694;ac10720d;Various;World's Best Acoustic Worship;folk;Gospel;ID3G:  38;;We Will Embrace Your Move;The River is Here;I Belong to a Mighty God;Because We Believe;Wind of God;But for Your Grace;I Need You More;Whom Shall I Fear;Open the Eyes of My Heart;Let the River Flow;Let the Rain of Your Presence;I Could Sing of Your Love Forever;Amen;
100695;ac11560c;Harry Chapin;The Essentials;folk;Folk;ID3G:  80;;Taxi;Sunday Morning Sunshine;W*O*L*D;Cat's In the Cradle;I Wanna Learn a Love Song;Better Place to Be;Dreams Go By;Sniper;30,000 Pounds of Bannanas (Live);Dance Band of the Titanic;Sequel;Remember When the Music - Reprise;;
100696;ac116f0e;Kepa Junkera;Maren;folk;Folk;;2001;Bok-Espok;Ny Hirahira;Busturiko Vikingoak;Mundaka;Peliqueiroak Terranovan;Izaro;Urdaibai;Maruelexa;MataCulebra;Kaixarranka;Balea;Oliene;Maren;DataTrack 14
100697;ac11781e;"Double Feature: Die 17 HippiesTreppe\"";Di grine Kuzine / Soundtrack \""Halbe Feribot""";folk;Pop-Folk;YEAR: 2002 ID3G:  53;2002;17 Hippies - Oros I;17 Hippies - Gelb zwo drei;17 Hippies - Isabeau...;17 Hippies - Kein Feuerzeichen;17 Hippies - Sandgate;17 Hippies - Fische;17 Hippies - Elf-Achtel;17 Hippies - Tanz des Bauern mit den dicksten Kartoffeln;17 Hippies - Isa auf der Brücke;17 Hippies - Die Oros;17 Hippies - Immer noch kein Feuerzeichen;17 Hippies - Dorfwalzer;17 Hippies - Fahrstuhlmusik;17 Hippies - Im Schnee;17 Hippies - El Balado
100698;ac12483e;Alan Lomax;Caribbean Voyage: Brown Girl in the Ring;folk;;;;There's a Brown Girl in the Ring;There's a Brown Girl in the Ring;One, Two, Three;Zinglito;Gypsy in the Moonlight;Coming Down With a Bunch of Roses;In a Fine Castle;I Have a Tree in my Right Hand;One Spaniard Came;Jane and Louisa;Roman Soldiers;Sandy Girl;Some Like It Hot, Some Like It Cold;Green Gravel
100699;ad05920f;Sjörövar Fabbe;och 14 andra sånger om båtar och vatten;folk;Folklore;YEAR: 1995;1995;Mugge Bigge;Nisse tänker sjöman bli;Josefin;Jag hade en gång en båt;I rövarekulan;Simma;Bro bro breja;Sjörövar Fabbe;Vem kan segla förutan vind;Ro din båt;Ro, ro barnet;Albertina;Våran jord är inte stor;vinden drar
100700;ad07e80d;Jimmy Sturr;Dance With Me;folk;Polka;;1998;Make Mine Polka w Oak Ridge Boys;My Polka Dot w Johnny Karas;Stellato's Polka;May All Your Drams Come True Waltz w Oak Ridge Boys;Papa Won't You Dance With Me w Rocco Sisters;E-String Polka;Borracho #1 w Johnny Karas;Ordinary Girl Waltz w Oak Ridge Boys;Blue Star;In One Year (Za Rok) w Johnny Karas;Watch Your Step Oberek;Loretta w Oak Ridge Boys;Wasn't That A Party w Oak Ridge Boys;
100701;ad08660c;Various;The Best of Folk Music (Disc 1);folk;;;;There But For Fortune (Joan Baez);The Night They Drove Old Dixie Down (Joan Baez);We Shall Overcome (Joan Baez);This Land Is Your Land (Wood Guthrie);So Long, It's Been Good To Know You (Woodie Guthrie);Hard, Ain't It Hard (Woody Guthrie);Someday Soon (Ian & sylvia);Early Morning Rain (Ian & Sylvia);Four Strong Winds (Ian & Sylvia);On Top of Old Smokey (The Weavers);Wimoweh (The Weavers);Goodnight Irene (The Weavers);;
100702;ad08750c;Golden Gate Quartet;The 80's;folk;Gospel;ID3G:  38;;GOOD NEWS the chariot's coming;JOSHUA fit the battle of Jericho;DON'T YOU TALK ABOUT IT;SAINT-LOUIS BLUES;GO DOWN MOSES (Let my people go);ON THE SUNNY SIDE OF THE STREET;EZEKIEL saw the wheel;AMEN;SIXTEEN TONS;I WANT TO GO THERE (Over there);KANSAS CITY;WHEN THE SAINTS GO MARCHING IN;;
100703;ad08f40c;Fairport Convention;What We Did On Our Holidays;folk;;;;Fotheringay;Mr. Lacey;Book Song;"\The Lord Is In This Place...How Dreadful Is This Place""";No Man's Land;I'll Keep It With Mine;Eastern Rain;Nottamun Town;Tale In A Hard Time;She Moves Through The Fair;Meet On The Ledge;End Of A Holiday;;
100704;ad09720d;"Seemanns-Chor \Elbe1\""""";Melodien in Luv und  Lee;folk;;;;Einmal noch nach Bombay;Der Bootsmann, das ist unser bestes Stück;Und das weite Meer;Du kleine blonde Anke;Vergangen, vergessen, vorüber;La Paloma;The Grimsby Lads;Sierra Madre del Sur;De Kock;Tabak und Rum;Ay ay ay Paloma;Abschied vom Meer;Licht aus und Ruh im Schiff;
100705;ad09930e;Denis Novatoa Austria;O du mein Osterreich - O moja Avstrija - O tu mia Austria;folk;Folklore;;1999;O du mein Osterreich;Die lustigen Holzhackerbuam;Ein prosit! Trink, trink, Bruderlein trink;Rosamunde;O du lieber Augustin. Kuckuckswalzer;Zillertaler Hochzeitsmarsch;Gamsjagermarsch;Schneewalzer;Sternguckerpolka;Kufsteiner Lied;Holterbuammarsch;Landler;Wien bleibt WIen;Under dem Doppeladler
100706;ad099b0e;Cesarice;Cesarice 2;folk;;;;I klice djevojka;Pruz desnicu;Siroko, levonte;Jubav moja;Pjeni se more;Izresla ruza rumena;Il canto della sposa;La vinella;Sevillanas;Aylalelo;Rosinyol;El. Vito;nar. bugarska;nar. bugarska
100707;ad09b20c;Suntrap;Long Winter Coat;folk;Folk;Tracks titled and numbered;2001;01 Long winter coat;02 Flash company;03 Star;04 Sparkle;05 Horse at the spur;06 When a man's in love;07 So weak;08 Sally free and easy;09 Grass is greener;10 Told me;11 Old cold town;12 Crystal tears;;
100708;ad09b60c;ÄéÜöïñïé;ÈÝëåéò Ìðïõæïýêéá ÐÜìå;folk;Folk;;;¸ëá óôïí ðáðïý;ÈÝëåéò ìðïõæïýêéá ðÜìå;Ôüóá ÷ñüíéá óáí ôõöëüò;ÁíÝâá óôï ôñáðÝæé ìïõ;Äåí èÝëù íá êëáßò;Èá åßìáóôå ìáæß;Äåí ðá íá ãá;Íôéëáúëá;Ðñïóåõ÷Þ;¼ôáí ÷ïñåýåéò ìÜôéá ìïõ;Åóý öôáßò;Ðù ðù Ýíá ìáíÜñ;;
100709;ad09f00d;Hedningarna;Hedningarna;folk;Scandinavian;YEAR: 1989;1989;Polska Efter Pelle Fors;Förtvivlans Polska;Häxpolskan;Skavlåten;Ölbackens Polska;Särna Gamla Brudmarsch;Multihalling;Fulinghalling;Polska Efter Olof Tillman;Doplåten;Polska Efter Hins Anders;Lacknafta;Björnlaten;
100710;ad0a000d;Cosy Sheridan;Grand Design;folk;Folk;\nYEAR: 1999  ID3G:  80;1999;The Little Train;A Fool Entering The World;Don't Go In The Water;Tell Me It All Works Out In The End;My Lost Valentine;Masterpiece;A Bad Cliche;Love Conquer All;18 Holes On The Open Range;I Won't Worry Anymore;Some Fires;George And His 88 Keys;Grand Design;
100711;ad0a430c;Ron Romanovsky;Hopeful Romantic;folk;Pop;;1992;The Telephone Company Loves Me;Sacrifices;When I Hear A Love Song;I Like To Polka;Baby, Take Advantage Of Me;The Perfect Crime;A Measure Of Sadness;Battle Scars;Guilt Song;One For You, One For Me;A Song In My Heart;These Things;;
100712;ad0a4920;Peter Pickow;Step One Play the Pennywhistle;folk;Folk;Step One Teach Yourself Pennywhistle\nAMSCO Publications\nDivision of Musi;2000;Introduction;Getting Started;First Jig;Three More Notes;First Waltz;D Major Scale;Double-Tounging;First March;The High Octave;Ornamentation;First Reel;Dargason;Fool's Jig;Old Mother Oxford
100713;ad0a4d0c;Driving With Fergus;The Welcoming Table;folk;Celtic;YEAR: 2002 ID3G: 88;2002;Lad O' Beirne's/Saddle the Pony;Trip to Pakistan/Cathal McConnell's/Sculley Casey's;The Gallant Frigate Amphitrite;John Brady's/Tim Moloney's;Sixth Street;Noisy Curlew/Brenda Stubbert's/Glass of Beer;Welcoming Table/The Wandering Jew;Out on the Ocean/Crooked Road to Dublin;Thunderhead;Erin's Waltz;Gallant Soldier;Rise a Mile;;
100714;ad0aee0d;Te Vaka;traditional & contemporary music from the south seas;folk;Folklore;YEAR: 2000;2000;Tokelau;Te namo;Pate mo tou vae;Papa e;Ki te la;Toku matua;Tautai e;Vaka gaoi;Tagi Sina;Te vaka;E keli;Ika ika;Siva mai;
100715;ad0b060d;Kate & Anna McGarrigle;Love Over and Over;folk;;;;Move Over Moon;Sun, Son (Shining On the Water);I Cried For Us;Love Over and Over;Star Cab Company;Tu vas m'accompagner;On My Way To Town;Jesus Lifeline;The Work Song;St. Valentine's Day 1978;Midnight Flight;A Place In Your Heart;Babies If I Didn't Have You;
100716;ad0b1c0c;toja;toja;folk;;;2001;Branle Du Pois;Hochzeitswalzer;Bufansco;Mayim;Gavotte En Automne;Altiruni;Summer Swing;Joc Batranesc Din Nicultel;Am offenen Fenster;John Ryan's;Kuschelhexenwalzer;Alaungasse;;
100717;ad0b410c;Êîðîëåâ Âèêòîð;Ïüÿíàÿ Âèøíÿ;folk;Chanson;;2000;ß Íå Áóäó Æäàòü Òåáÿ Íà Áåðåãó;Â Ïîñëåäíèé Ðàç;Ïüÿíàÿ Âèøíÿ;ß, Ìîñêîâñêèé Îçîðíîé Ãóëÿêà;Àõ, Ýòî Áûëî...;Äûì Êîëüöàìè;Óëèöà Ðàçáèòûõ Ôîíàðåé;Çàé÷èê;Ñàìîëåò;Çà Òóìàíàìè;À ß Íàëüþ Ñåáå Âèíà;"Äåìî-Ìèêñ Àëüáîìà È. Ñëóöêîãî \Ïîñòîé, Äóøà\""""";;
100718;ad0b520d;Kathy Kelly;The Best Of;folk;folk;;1999;You're Loosing Me;Te Quiero Y No Me Dejes;Eras Tu;Nothing Like Home;Gott Deine Kinder;Te Estoy Amando Locamente;Summertime;All Along The Way;Come Back To Me;Father's Nose;Only Our Rivers Run Free;I Pray That One Day;Que Dios Ayude;
100719;ad0b5b0d;The electrics;visions and dreams;folk;;;;2000 years;mercy mercy;disciples of disaster;some things a young man shouldn't have seen;the turning tide;wishig on a dream;visions and dreams;justify your love;free;stems and thorns;hellhound on my trail;belfast town;t-hule beannachd (the blessing);
100720;ad0b7b0d;Subway to Sally;Album 1994;folk;Gothic;YEAR: 1994 ID3G: 49;1994;Cromdale;Rainman;Queen of Argyll;Barleycorn;Elvis lives;Planxt-chen;An der Zeit;Traum vom Tod;Die Braut;The Keach in the creel;Bonnie Johnnie Lowrie;Down the line;But we don't know;
100721;ad0b8e0e;Alejandro Fatur;Musica de Bariloche VII, Un sueqo encendido;folk;;;;Un sueqo encendido;Mientras veo a Malena;El tiempo se desliza;Nieva en el bosque;Milonga del angel gris;Zamba para no morir;Chayita del vidalero;Entre amigos;Fuego lento;Cada vez que te fallo;Zamba transparente;El sueqo de anahi;Un segundo depuis del fin de los tiempos;Olas
100722;ad0b920d;Zillertaler Schürzenjäger;Ischia Isola Bella;folk;National Folk;;;Ischia, Isola Bella;CANADA;Vater, bitte hol mi;WER SICH NACH LIEBE SEHNT;LASS DIE SONNE IN DEIN LEBEN;SILENCE IN DEN BERGEN;Come si Chiama;"MEIN HERZ; ES SCHREIT NACH ZÄRTLICHKEIT";VIVA MARIA;AUF EINER WOLKE MÖCHT ICH FLIEGEN;INSEL DER TRÄUME;LOGO,LOGO;SONATA ALPIN;
100723;ad0bce0e;The rockefellas;The only Year;folk;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14
100724;ad0bd20d;Demis Roussos;Demis Roussos Greater Love;folk;Ballad;;1986;Tropicana Bay;Summer in her eyes;Quantanamera;Greater Love;Follow me;Island of love;I miss you;Tropicana Bay;How;Amis pour la vie;Summerwine;Another time;In love;
100726;ad0c270c;ã?Ÿã?¾;æ?±äº¬ãƒ•ãƒ«ãƒ¼ãƒ„;folk;Folk;YEAR: 2000;2000;å®‰å¿ƒ;ã?¨ã?‹ã?’;ã‚«ãƒœãƒ?ãƒ£;å¤¢ã?®ä¸­ã?®å?›;å­¦ç¿’;ãƒ?ãƒ€ã‚·ã?®è¶³éŸ³;å°?è±¡ã?®ãƒ»ãƒ»ãƒ»;ã?„ã‚?ã?—ã?®ã?“ã‚‚ã‚Šã?†ã?Ÿ;ã?•ã‚ˆã?ªã‚‰ã?Šã?²ã?•ã?¾;ãƒ©ãƒƒã‚¿ãƒƒã‚¿;ã€Œå¤?ã?§ã?™ã€?ã?¨1å›žè¨€ã?£ã?Ÿ;ã‚†ã‚?ã?¿ã?¦ã?„ã‚‹ã‚ˆ;;
100727;ad0c450c;Crannog;Let's Not And Say We Did;folk;Celtic;;;Dusty Window Ledge, Bonnie's Blue Brozzie;Kath's Joy;The Night Visit;Anne Marie's Hat;Paddy On The Turnpike, Ode To The 8th Mouse;Destitution;Leith Central, Botanical Chain, Ed's Turkeys;Looking Back;Clumsy Lover, Lexie McAskill;Walls Of Liscarroll, Jenny Picking Cockles, B Minor;Black Is The Colour;Coffee Plunger, Farewell To Erin, Lady Margaret Stewart;;
100728;ad0c940d;Jewel;Spirit;folk;Acoustic;;2002;Deep Water;What's Simple Is True;Hands;Kiss The Flame;Down So Long;Innocence Maintained;Jupiter;Fat Boy;Enter From the East;Barcelona;Life Uncommon;Do You;Absence of Fear / This Little Bird;
100729;ad0ce50c;various;A Hot Life;folk;Indo Folk;Promotional Album 2;2003;Warna - Rindu Ini;Sheila On 7 - Kita;Padi - Sudahlah;The Groove - Satu Mimpiku;Cokelat - Bunga Tidur;Sheila On 7 - JAP;rif - Salah Jurusan;Glenn - Cukup Sudah;Gigi - Dimanakah Kau Berada;Padi - Begitu Indah;The Groove - Khayalan;rif - Bunga;;
100730;ad0d060c;Commissioned;A Collection;folk;Gospel;YEAR: 1991 ID3G: 38;1991;So Good To Know (The Savior);Ordinary Just Won't Do;Go Tell Somebody;If My People;Strange Land;Back In The Saddle;Running Back to You;What Will You Say;Lord Jesus Help Me (Help Somebody Else);Hide The Word;You Can Depend On Jesus;Only What You Do For Christ Will Last;;
100731;ad0d320d;Non Trubada;Tarantela;folk;;;1996;Cdrom;El Canario;Duque De Cabra;Luz Mafasca;Como Baifas;Ahul;Un Paseo Por El Garajonay;Isa;El Vivo;Leyendas;Veneguera;Ucanca;Sueño De Benza;
100732;ad0e131e;Various Artists;Children's Choice;folk;;;;She'll be coming 'round the mountain;Five little men in a flying saucer;When Goldilocks went to the house of the bears;Five little monkeys bouncing on the bed;Miss Polly had a dolly;The wise man built his house upon a rock;Five little speckled frogs;Dingle dangle scarecrow;Roly Poly;The Grand Old Duke of York;Bananas in pyjamas;Heads, shoulders, knees and toes;Incy wincy spider;1, 2, 3 4 5
100733;ad0e2a0e;Various Artists;Global Celebration: Passages;folk;Ethnic;Ellipsis Arts... CD3233;1993;Ali Hassan Kuban/Henna (Nubian Engagement Song);Zuhura Swaleh & Maulidi Musical Party/Shani (Swahili Taarab We;dding Song);Leiko/Hähkämine (Setu Nuptial Song);Udokotela Shange Namajaha/Awungilobolele (South African Zulu M;arriage Celebration);The Klezmatics/NY Psycho Freylekhs (Traditional Jewish Wedding;Dance);Virunga/Vidonge (Zairean Soukous Dance);Toba Batak Ensemble/Haro-Haro (North Sumatran Ridual Disinterm;ent Ceremony);Abana Ba Nasery/Omwana Wa Mberi Nesiekhoira (Kenyan Celebratio;n For The First Born Child);Värttinä/Seelinnikoi (Finnish Ingrian Rune Song)
100734;ad0e410d;Three Mile Limit;Floating Off Somewhere Else;folk;;YEAR: 1996;1996;Back Home (Hours Wasted);Wendy;Downpour;Let Me Play the Fool;Hysterical Bliss;When I Finally Reach the Ground;Twitch;More;Smart;Listening To You;Brown;Going Our Separate Ways;A Thousand Times Goodbye;
100735;ad0e640c;caribe;musica del caribe;folk;;;;loma de belen;yo no tumbo cana;cuando me toca a mi;cielito lindo;bajo con tumbao;yo no soy guapo;ne bebo mas;abanecue;yambecue;guapo de carton;traigo musica;ganas;;
100736;ad0ea00c;Grupo Niche;Lo mejor;folk;Salsa;;1994;Hagamos lo que diga el corazón;Busca por adentro;Cali ají;Duele mas;Sin sentimientos;Mecánico;La magia de tus besos;Mi pueblo;Una aventura;Se pareció tanto a tí;Buscaré la forma;Que ironía;;
100737;ad0eca0d;Charles Gray;Continue 2 Conquer;folk;Gospel;YEAR: 2000 ID3G:  38;2000;Free (Radio Version);Clap You Hands;If You Hear Me;Destiny;Continue 2 Conquer;Whom Shall I Fear;Dollar Bills;Don't Worship Me;Faith;Free;Magnify;Thank You;Simple Man;
100738;ad0fae0c;Allison With One;Broken Sound Vol.2;folk;Gothic;ID3G:  49;;On These Days and Dread (Surdus Mix);While Drifting (drift-float-sink);On These Days (trick of the light mix);Dread (Lt. Citias mix);While Drifting (Why? Mix);On These Days (Ramo Mix);Dread (dark moon mix);While Drifting (Dido's Lament mix);Dread (blue mix);Kingseat (allegiance mix);What Would You Do? (sink mix);original song by Shadowcraft;;
100739;ad10a20d;Various Artists;Noujoum Rai 4;folk;;;;National De Barbis - Alaoui;Cheb Yazid - Sbri Sbri;Ched Hassni - Aalach Ya Aania;Cheb Yazid - Hia Dounia;Cheb Mami - Sidi  Taleb;Haouri Ben Echenat - Liatima;Takfarinas - Zaama Zaama;Cheb Abdelhak - Laakal Dato Aaouicha;Cheb Mohammed S'ghir - Chebani Jri Ngntak;Cheb Tahar Et Zahouania - Mazilti Sgera;Cheb Khaled - Di Di;Cheb Hassni - Tal ghiabek Yagzali;Cheb El Hindi - Fouatili Benti;
100740;ad11351c;Jack Johnson;JOAT #1;folk;Pop-Folk;ID3G: 53;;thug style;who's to say (g.a.t.e.);f-stop blues;inaudible melodies;rodeo clown;poor Taylor;posters;bubble toes;middleman;flake;stars in heaven;the news;drink the water;nice car, boy
100741;ae081e0b;Buddy Greene;Praise Harmonica;folk;Gospel;YEAR: 2002 ID3G:  38;2002;What a Friend We Have In Jesus - His Eye is on the Sparrow;Life is Like A Mountain Railroad - This Train;Saviour Like A Shepherd Lead Us - Psalm 23 (Brother James Aire);There is a Balm in Gilead - Amen - Joshua Fit the Battle;How Gracious Is the Lord;Amazing Grace;Were You There - When I Survey the Wondrous Cross - The Old Rugged C;ross;Jesu, Joy of Man's Desiring;There's Something About That Name - Oh, How I Love Jesus;When the Roll Is Called Up Yonder - I'll Fly Away;I Need Thee Every Hour - My Jesus I Love Thee;;
100742;ae08270c;María Dolores Pradera;María Dolores Pradera acompañada por Los Gemelos;folk;Folk;YEAR: 1991;1991;Pozo de Arena;El Sombre Rosa Perfumadito;Tiempo I' Mama;El Parado;Guitarras, Lloren Guitarras;Yo Vendo Unos Ojos Negros;Ave Negra;¡Que Bonito!;Isa Canaria;Solo Rosas;Volver, Volver;Amarga Navidad;;
100743;ae08740d;Die Jungen Klostertaler;Ja gibt's denn sowas!;folk;folk;;;Ja bibt's denn sowas;Heut' gibt's nur Ramba Zamba;Sepp;Gitarrenfreude;Lady Indiana;Tommi-Polka;Ein Jodler zum meim Glück;Nix capito, Barbarito;Klostertaler Potpourri;Schöne Zeiten;Firngleiter-Polka;Einmal gewinnen;Schau Papa schau;
100744;ae087b0d;Jimmy Sturr;Living On Polka Time;folk;;;;Dear Hearts and Gentle People;Speedline;Hey Baby Qué Pasó;On the Swing;Always;I Love Polka Music;Sweet and Lovely;Loving Arms of Tennessee;WWW Polka.Com;Hoop De Doo;Bad Joe;Fiddlemania;Such A Way About You;
